,f_MUNICIPIO_COD,f_MUNICIPIO,ANO,MES,ANOMES,REGIAO,HOMOCIDIO_DOLOSO,LESAO_CORPORAL_MORTE,LATROCINIO,CVLI,HOMOCIDIO_POR_INTERVENCAO_POLICIAL,LETALIDADE_VIOLENTA,TENTATIVA_HOMICIDIO,ESTUPRO,HOMICIDIO_CULPOSP,LESAO_CORPORAL_DOLOSA,LESAO_CORPORAL_CULPOSA,ROUBO_TRANSEUNTE,ROUBO_CELULAR,ROUBO_EM_COLETIVO,ROUBO_EM_RUA,ROUBO_VEICULO,ROUBO_DE_CARGA,ROUBO_COMERCIO,ROUBO_RESIDENCIAL,ROUBO_BANCO,ROUBO_CAIXA_ELETRONICO,ROUBO_CONSUCAO_SAQUE,ROUBO_APOS_SAQUE,ROUBO_BICICLETA,OUTROS_ROUBOS,TOTAL_ROUBOS,FURTO_VEICULOS,FURTO_TRANSEUNTE,FURTO_EM_COLETIVO,FURTO_CELULAR,FURTO_BICILETA,OUTROS_FURTOS,TOTAL_FURTOS,SEQUESTRO,EXTORSAO,SEQUESTRO_RELAMPAGO,ESTELIONATO,APREENSAO_DROGAS,POSSE_DROGAS,TRAFICO_DROGAS,APREENSAO_DROGAS_SEM_AUTOR,RECUPERACAO_VEICULOS,APF,AAAPAI,CMP,CMBA,AMEACA,PESSOAS_DESAPARECIDAS,ENCONTRO_CADAVER,ENCONTRO_OSSADA,POLICIAL_MILITAR_MORTO_SERVICO,POLICIAL_CIVIL_MORTO_SERVICO,REGISTRO_OCORRENCIAS,FASE
57,3304102,PORCIÚNCULA,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,15,0,0,0,0,4,4,1,1,0,2,2,0,0,13,0,0,0,0,0,68,3
58,3304110,PORTO REAL,2014,1,201401,INTERIOR,0,0,0,0,0,0,1,20,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,0,13,19,0,1,0,1,11,6,4,1,0,4,0,5,0,12,1,0,0,0,0,86,3
59,3304128,QUATIS,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
60,3304144,QUEIMADOS,2014,1,201401,BAIXADA FLUMINENSE,8,0,0,8,1,9,5,142,9,0,21,42,0,7,49,15,2,6,1,0,0,0,1,0,4,78,12,10,4,3,0,66,95,0,3,0,12,10,2,8,0,22,29,6,13,0,124,7,1,0,0,0,600,3
61,3304151,QUISSAMÃ,2014,1,201401,INTERIOR,2,0,1,3,0,3,1,12,2,0,21,0,0,0,0,3,0,3,0,0,0,0,0,0,1,7,4,0,0,0,0,9,13,0,1,0,1,1,1,0,0,6,2,0,0,0,6,0,0,0,0,0,79,3
62,3304201,RESENDE,2014,1,201401,INTERIOR,4,0,0,4,0,4,2,94,5,1,25,3,0,0,3,1,1,2,0,0,0,0,0,0,2,10,9,8,5,15,0,87,123,0,1,0,14,35,16,16,3,8,45,6,8,0,105,9,1,0,0,0,515,3
63,3304300,RIO BONITO,2014,1,201401,INTERIOR,1,0,0,1,0,1,0,20,0,9,20,4,0,2,6,7,0,4,2,0,0,0,0,0,0,19,5,0,1,3,0,17,26,0,0,0,8,5,1,4,0,5,9,3,2,0,28,1,0,0,0,0,163,3
64,3304409,RIO CLARO,2014,1,201401,INTERIOR,0,0,0,0,0,0,1,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,7,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,0,0,48,3
65,3304508,RIO DAS FLORES,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,22,3
66,3304524,RIO DAS OSTRAS,2014,1,201401,INTERIOR,4,0,0,4,0,4,11,76,0,1,42,31,4,2,37,8,0,5,0,0,0,0,1,0,7,58,39,32,4,8,0,148,231,0,2,0,15,14,6,7,1,16,23,6,6,0,98,2,1,0,0,0,639,3
67,3304557,RIO DE JANEIRO,2014,1,201401,CAPITAL,113,3,5,121,32,153,192,3562,194,62,1909,3273,308,423,4004,1336,286,354,54,5,0,6,80,0,1027,6859,629,2357,672,1059,0,4743,9753,0,94,21,1672,1019,602,310,110,1011,1132,510,824,32,3469,254,21,0,0,0,36489,3
68,3304607,SANTA MARIA MADALENA,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,30,3
69,3304706,SANTO ANTÔNIO DE PÁDUA,2014,1,201401,INTERIOR,3,0,1,4,0,4,0,27,1,0,6,0,0,0,0,2,1,1,0,0,0,0,0,0,2,6,5,1,0,2,0,30,38,0,0,0,1,27,16,11,1,3,20,2,3,0,28,0,1,0,0,0,186,3
70,3304755,SÃO FRANCISCO DE ITABAPOANA,2014,1,201401,INTERIOR,1,0,0,1,0,1,4,26,2,0,1,2,1,0,3,2,0,1,0,0,0,0,0,0,0,6,5,1,1,2,0,27,36,0,0,0,1,2,1,0,1,3,8,0,12,0,8,1,0,0,0,0,119,3
